pmid,title,authors,journal,year,doi,url,abstract
41010995,Is Body Mass Index a Prognostic Factor in Metastatic HER2-Positive Breast Cancer? A Real-World Multicenter Study.,"['Zeliha Birsin', 'Hülya Odabaşı Bükün', 'İsmail Nazlı', 'Onur Alkan', 'Murat Günaltılı', 'Emir Çerme', 'Vali Aliyev', 'Selin Cebeci', 'Seda Jeral', 'Hamza Abbasov', 'Türkkan Evrensel', 'Çiğdem Papila', 'Nebi Serkan Demirci', 'Özkan Alan']","Medicina (Kaunas, Lithuania)",2025,10.3390/medicina61091604,https://pubmed.ncbi.nlm.nih.gov/41010995/,"Background and Objectives: The prognostic significance of body mass index (BMI) in metastatic HER2-positive breast cancer (BC) remains unclear, with previous studies yielding conflicting results. This multicenter real-world study aimed to investigate the prognostic role of BMI in this patient population. Materials and Methods : A total of 169 female patients with metastatic HER2-positive BC who received trastuzumab-based treatment between 2010 and 2024 were included. Patients were categorized by BMI (<30 kg/m 2 vs. ≥30 kg/m 2 ). The primary endpoints were overall survival (OS) and progression-free survival (PFS). Kaplan-Meier and Cox regression analyses were performed overall and in subgroups stratified by hormone receptor (HR) status. Results : In the overall cohort, a BMI ≥ 30 was not significantly associated with OS or PFS. However, in the HR-positive/HER2-positive subgroup, BMI ≥ 30 kg/m 2 was linked to significantly shorter OS ( p = 0.024) and PFS ( p = 0.047) by Kaplan-Meier analysis. However, these associations did not remain statistically significant in multivariate analyses. No significant BMI-related differences were observed in the HR-negative subgroup. Other independent negative prognostic factors included recurrent disease, the presence of brain metastases, and a high Ki-67 index. Conclusions : BMI was not identified as an independent prognostic factor in the overall population. However, among HR-positive/HER2-positive patients, obesity was associated with poorer survival in univariate analysis, but this was not confirmed in multivariate analysis. These findings underscore the need for prospective studies to clarify the prognostic role of adiposity, considering biological subtypes."
41008905,Impact of Body Composition Changes on Treatment-Related Toxicities and Clinical Outcomes in HER2-Positive Metastatic Breast Cancer Patients Receiving Trastuzumab Deruxtecan.,"['Alessio Molfino', 'Giovanni Imbimbo', 'Simona Pisegna', 'Simone Scagnoli', 'Claudia Alabiso', 'Massimiliano Ardovino', 'Carmen Gallicchio', 'Veronica Rizzo', 'Andrea Botticelli']",Cancers,2025,10.3390/cancers17183063,https://pubmed.ncbi.nlm.nih.gov/41008905/,"Breast cancer remains a significant global health concern, with HER2-positive metastatic breast cancer continuing to present persistent challenges despite advancements in targeted therapies, including trastuzumab deruxtecan (T-DXd). This study aimed to verify the impact of body composition changes on treatment-related toxicities, dose modifications, and clinical outcomes in patients receiving T-DXd. A retrospective analysis on 35 patients with HER2-positive metastatic breast cancer was conducted, analyzing body composition parameters such as subcutaneous adipose tissue (SAT), visceral adipose tissue (VAT), skeletal muscle area (SMA), and skeletal muscle index (SMI)-assessed using CT scans at baseline (T0) and after a median follow-up of 4 months (T1)-and calculating ΔT0-T1% of each parameter. Significant reductions over time were observed in SAT (mean ΔSAT% = -5.7%, p = 0.023) and SMA (mean ΔSMA% = -4.9%, p = 0.001). Treatment-related adverse events (AEs) were common, with 31% of patients experiencing severe (Grade 3-4) toxicities. Patients with higher ΔSAT% (above the median value) experienced Grade 3-4 toxicities more frequently compared to those with lower ΔSAT% (below the median) ( p < 0.05). Among patients without toxicities, a significant decrease in SAT was observed between T0 and T1 ( p = 0.003), while no significant change was detected in patients with Grade 3-4 toxicities ( p = 0.929). Greater reductions in SMA were associated with increased rates of treatment discontinuation (75% vs. 29%, p = 0.009). Kaplan-Meier analysis confirmed that greater reductions in SMA significantly increased the risk of mortality (HR 5.1, 95% CI: 1.05-24.79; p = 0.025) and showed a trend toward higher risk of disease progression (HR 2.58, 95% CI: 0.89-7.49; p = 0.063). Changes in body composition, particularly reductions in SMA, were associated with increased treatment discontinuation and mortality in HER2-positive metastatic breast cancer receiving T-DXd. Increase in SAT was associated with higher rates of severe toxicities, highlighting its potential role in predicting treatment-related complications, and the clinical relevance of nutritional changes on outcomes in this setting."
41008840,Characterisation of mAb104 Antibody-Drug Conjugates Targeting a Tumour-Selective HER2 Epitope.,"['Sagun Parakh', 'Nhi Huynh', 'Laura D Osellame', 'Diana D Cao', 'Angela Rigopoulos', 'Benjamin Gloria', 'Nancy Yanan Guo', 'Fiona E Scott', 'Zhanqi Liu', 'Hui K Gan', 'Andrew M Scott']",Cancers,2025,10.3390/cancers17182995,https://pubmed.ncbi.nlm.nih.gov/41008840/,"The novel anti-HER2 antibody 104 (mAb104) targets a unique tumour-specific epitope, lacks normal tissue binding and can internalise into tumour cells, thus supporting its development into antibody drug conjugates (ADCs). We now describe the binding properties and preclinical activity of mAb104-ADCs developed through the conjugation of mAb104 via linkers to the anti-microtubule drug maytansoinoid ematansine (DM1-SMCC; DM1), topoisomerase I inhibitor, exatecan derivative (MC-GGFG-DX8951; DX8951) or microtubule disruptor monomethyl auristatin E (MC-vc-PAB-MMAE; MMAE). Mab104-ADCs demonstrate dose-dependent cytotoxicity in vitro. The safety of single-dose mAb104-DX8951 was demonstrated in vivo at doses up to 10 mg/kg. MAb104-ADCs also demonstrated potent and prolonged anti-tumour activity in a range of tumour types with variable HER2 expression. Mab104-DX8951 showed significant responses in trastuzumab-resistant HER2-positive breast cancer, low HER2-expressing cancers, as well as HER2-overexpressing cancers. These findings indicate the potential for tumour-specific targeting of HER2-expressing tumours with mAb104-ADCs."
41006954,Trastuzumab Deruxtecan-Induced Myotoxicity: First Case Report About Myopathy in Patient With Normal Body Composition and Clinical Insights.,"['Zhen Qiao', 'LiuDan Li', 'Hong Wang', 'ShuHui Dai', 'LiTong Ye']",Thoracic cancer,2025,10.1111/1759-7714.70168,https://pubmed.ncbi.nlm.nih.gov/41006954/,"Trastuzumab deruxtecan (T-DXd) significantly improves outcomes in HER2-positive or low metastatic breast cancer (MBC), but systematic documentation of its myotoxicity is lacking. A 45-year-old woman with HER2-low MBC and normal body composition (BMI 22.9 kg/m 2 , visceral adipose area [VAT] 69.1 cm 2 ) developed T-DXd myopathy. She experienced dysphagia, Grade III myalgia, and creatine kinase (CK) peak of 1755 U/L, with MRI confirming lumbar subcutaneous edema and paraspinal muscle swelling. T-DXd was discontinued. Supportive therapy included hydration, urine alkalization by sodium bicarbonate, glutathione, and magnesium isoglycyrrhizinate. By Day 8, CK decreased to 539 U/L with myalgia improvement. After 13 days off therapy, CK rebounded to 1735 U/L with Grade III myalgia, which resolved upon reinitiating support. This case report presents the first documented instance of severe T-DXd-related myopathy in a patient with normal body composition. The observed case outcomes suggest that the combination of glutathione and magnesium isoglycyrrhizinate could potentially reduce CK levels and alleviate T-DXd-associated muscle pain. However, the observed clinical efficacy is based on an individual case. Extrapolation of these clinical outcomes requires large-scale randomized controlled trials with rigorous covariate adjustment."
40998389,Advances in Proximity-Assisted Bioconjugation.,"['Mary Canzano', 'Gonçalo J L Bernardes']",Accounts of chemical research,2025,10.1021/acs.accounts.5c00368,https://pubmed.ncbi.nlm.nih.gov/40998389/,"ConspectusProximity-induced chemistry (PIC) refers to the transient reactivity between two or more molecules upon physical closeness which are otherwise unreactive. Harnessed by nature to control fundamental biological processes such as transcription and signal transduction, PIC increases the probability of correctly oriented, effective collisions, facilitating fundamental cellular processes. Within the field of chemical biology, PIC has been employed for several clinically relevant purposes, including the degradation of aberrant biomolecules and construction of protein therapeutics. This Account focuses on the application of PIC strategies for the development of site-specific bioconjugation techniques, termed proximity-assisted bioconjugation (PAB). Site-specific bioconjugation refers to the precise modification of biomolecules to generate homogeneous products. Such techniques are vital for the development of protein therapeutics including antibody-drug conjugates (ADCs), the investigation of the biological mechanisms of post-translational modifications (PTMs), and the visualization of biomolecular interactions in vitro and in vivo . While numerous strategies have been developed, many suffer from poor yields, limited product stability, demanding experimental procedures, and/or a lack of regioselectivity. Thus, PIC principles have been implemented to address these limitations, leading to the development of PAB strategies which achieve precise, regioselective modification of biomolecules. In this Account, we describe the development of PAB techniques within our group at the University of Cambridge and Instituto de Medicina Molecular (iMM) over the past five years. Our journey with PAB began serendipitously while investigating maleic acid derivatives for cysteine bioconjugation. Here, we discovered the secondary participation of proximal lysines on Trastuzumab-V205C and Gemtuzumab-V205C, conjugatable THIOMAB antibodies commonly used in ADCs, leading to the formation of distinct bioconjugate products relative to IgGs without such lysines. Further investigation into the proximal lysine (K207) of Trastuzumab-V205C revealed that residue 207 could be harnessed directly or mutated to precisely tune the stability of ADCs due to proximity interactions between K207 and covalent modifications of C205. Considering that two Trastuzumab drug conjugates are approved for clinical use, these findings have contributed to the evolving understanding of the chemical landscape of this antibody and help inform future ADC design and development. Further, we describe efforts from our group to develop two distinct PAB approaches: regioselective lysine acetylation of histone H3 and phage display-compatible peptide cyclization. These strategies combine induced-proximity with traditional bioconjugation techniques to enable regioselective modification of biomolecules which are historically difficult to selectively modify. These methods are readily adaptable to related systems and serve as representative examples of how to successfully develop PAB strategies for desired applications. In short, this Account highlights our group's contributions to and insights on PAB methodologies wherein we illustrate how PIC can be thoughtfully applied to bioconjugation techniques for various aims including regioselective bioconjugation and enhanced bioconjugate stability. We expect that PAB approaches will continue to diversify bioconjugation applications and greatly expand the toolkit of chemical biologists."
40996206,Multimodal MR functional imaging for pathological grading and monitoring trastuzumab response in HER2-positive breast cancer.,"['Luo Songjiang', 'Liu Feng', 'Wang Wei', 'Li Siyu', 'Wu Xiaoqing', 'Luo Tenglong']",Pakistan journal of pharmaceutical sciences,2025,10.36721/PJPS.2025.38.5.REG.15088.1,https://pubmed.ncbi.nlm.nih.gov/40996206/,"Accurate noninvasive assessment of tumor grade and therapeutic response in HER2-positive breast cancer remains challenging. This prospective, single-center study aimed to evaluate the diagnostic value of multimodal MR functional imaging in grading malignant breast tumors and monitoring trastuzumab response. Eighty HER2-positive patients confirmed by IHC/FISH were enrolled, including 41 low-grade and 39 high-grade tumors (Nottingham grading system). Patients underwent comprehensive MR imaging, including diffusion tensor imaging, MR spectroscopy and perfusion imaging at baseline and during therapy. Tumor morphological features (size, necrosis, hemorrhage, edema, boundary clarity) and functional MR parameters (FA, tCho, MTT, TTP) were analyzed for correlation with pathological grade and treatment response. High-grade tumors showed larger size, more necrosis, hemorrhage and edema (P<0.05). Functional MR parameters, particularly tCho, MTT and TTP, correlated positively with tumor grade (P<0.05). ROC analysis demonstrated high diagnostic accuracy (sensitivity 89.2%, specificity 79.5%, AUC=0.887). Typical MR imaging patterns also reflected trastuzumab responsiveness, indicating potential for noninvasive monitoring of therapy. Multimodal MR functional imaging thus provides a sensitive and specific tool for tumor grading and evaluation of targeted therapeutic response."
40995085,Detecting HER2-positive circulating tumor cells in gastric cancer using a flow cytometry-based approach.,"['Jan-Mou Lee', 'Chia-Chun Tu', 'Chih-Hao Fang', 'Shian-Ren Lin', 'Shiu-Lan Wang', 'Wan-Yu Lai', 'Po-Wei Tseng', 'Wan-En Liao', 'Li-Yun Huang', 'Yee Chao', 'Ming-Huang Chen']",Frontiers in medicine,2025,10.3389/fmed.2025.1672955,https://pubmed.ncbi.nlm.nih.gov/40995085/,"HER2 overexpression predicts the response to trastuzumab in gastric cancer (GC); however, assessing this overexpression requires invasive immunohistochemistry. Circulating tumor cells (CTCs) share comparable proteomic phenotypes to those of the primary tumor and represent a less invasive method for evaluating HER2 expression. Nevertheless, methods for detecting HER2 expression on CTCs still require further investigation. A flow cytometry method for detecting HER2-overexpressed CTCs was established by spiking NCI-N87 cells into blood from cancer-naive donors. The method was then applied to blood samples from 14 gastric cancer (GC) patients (4 with HER2-overexpressed tumors and 10 with HER2-wild type tumors) and 10 cancer-naive participants (CNPs), with all data analyzed using one-way ANOVA. The gating strategy was defined as CD45 - CK-7/8 + CK-14/15/16/19 + EpCAM + HER2 + , with a cut-off value of 5 cells/mL. Using this in-house method, we detected HER2-overexpressed CTCs in 4 of 4 GC patients with HER2-overexpressed tumors (ranging from 8 to 29 cells/mL), while 10 of 10 CNPs had undetectable HER2-overexpressed CTCs. Among GC participants with HER2-wild type tumors, 7 of 10 GC participants had undetectable HER2-overexpressed CTCs, whereas 3 of 10 had detectable HER2-overexpressed CTCs. Furthermore, one participant with HER2-overexpressed CTCs detected by our in-house method received HER2-based targeted therapy and experienced an objective response and was free from disease progression to the date of article writing. This study introduces a noninvasive method for monitoring HER2 expression in GC, offering new insights into providing personalized treatment strategies."
40993318,Comment on 'The mechanism of ncRNA in trastuzumab resistance in HER2-positive tumors'.,['Kadri Altundag'],"Medical oncology (Northwood, London, England)",2025,10.1007/s12032-025-03064-x,https://pubmed.ncbi.nlm.nih.gov/40993318/,
40991498,A case of trastuzumab-deruxtecan-induced subacute cutaneous lupus erythematous.,"['Nicole Trepanowski', 'Payal Shah', 'Heidi Bai', 'Shaofeng Yan', 'Natalie Fragoso', 'Dorothea Barton']",Dermatology online journal,2025,10.5070/D331265294,https://pubmed.ncbi.nlm.nih.gov/40991498/,"Drug-induced subacute cutaneous lupus erythematosus (DI-SCLE) is an erythematous, photodistributed, scaly, and annular cutaneous eruption that is clinically similar to subacute cutaneous lupus erythematosus. However, DI-SCLE is associated with medication use and generally resolves or greatly improves following discontinuation. Chemotherapeutic agents are common triggers of DI-SCLE. We report a patient with breast cancer who experienced multiple episodes of DI-SCLE associated with the use of different chemotherapeutic agents for treatment-resistant cancer. Notably, to the best of our knowledge, this case highlights the first reported association of DI-SCLE with trastuzumab deruxtecan. Additionally, this case is unique owing to a component of radiation recall dermatitis, as the rash was prominent in areas that had prior ionizing radiation. A prior history of DI-SCLE in oncology patients who continue to undergo treatment should prompt clinicians to consider DI-SCLE when faced with a new photodistributed, erythematous, annular, and scaly eruption. Early initiation of immunomodulating agents like hydroxychloroquine in patients with a history of moderate to severe DI-SCLE to chemotherapy who continue to undergo anti-cancer treatment may provide benefit and warrants further investigation."
40989687,Pharmacologic management of HR+/HER2- mBC: a clinically oriented review.,"['Elena Diana Chiru', 'Lina Sojak', 'Julia Landin', 'Marcus Vetter', 'Cvetka Grašič Kuhar']",Frontiers in oncology,2025,10.3389/fonc.2025.1596634,https://pubmed.ncbi.nlm.nih.gov/40989687/,"Breast cancer (BC) remains the most prevalent cancer among women worldwide, with hormone receptor-positive (HR+) and human epidermal growth factor receptor 2-negative (HER2-) subtypes representing approximately 75% of cases. Endocrine therapy (ET) has been foundational in HR+ BC treatment, significantly reducing recurrence and mortality rates, yet resistance to ET remains a critical challenge, particularly in the metastatic setting. Recent treatment advancements-especially CDK4/6 inhibitors (CDK4/6i) in first-line therapy, have reshaped management of HR+ HER2- mBC. Additionally, novel agents like selective estrogen receptor degraders (SERDs) and proteolysis-targeting chimeras (PROTACs), have proven to be effective against ER-resistance inducing mutations, such as ESR1, while poly ADP-ribose polymerase inhibitors (PARPi) showed targeted benefit in BRCA-mutated tumors. In breast cancer expressing AKT/PIK3CA pathway alterations, drugs like alpelisib, capivasertib, and inavolisib have recently been approved, demonstrating improved PFS in this specific patient population. Recent developments of antibody-drug conjugates (ADCs) have also extended therapeutic options to previously labeled HER2-negative tumors, with drugs like trastuzumab deruxtecan (T-DXd) demonstrating efficacy in newly emerged HER2-low and HER2-ultralow pathologic subgroups, extending median overall survival to almost 2 years. Most of these drugs have paved the way for personalized medicine and opened questions around optimal sequencing of ET and application of combination therapies, which continue to be investigated through clinical trials. This review seeks to highlight current and emerging treatment strategies addressing ET resistance to improve survival outcomes for HR+ mBC patients, emphasizing the need for personalized approaches."
