id,source,title,url,authors,journal_citation,year,abstract
36344672,PubMed,Targeting HER2-positive breast cancer: advances and future directions.,https://pubmed.ncbi.nlm.nih.gov/36344672/,"Swain SM, Shastry M, Hamilton E",Nature reviews. Drug discovery. 2023 Feb.,2023,"The long-sought discovery of HER2 as an actionable and highly sensitive therapeutic target was a major breakthrough for the treatment of highly aggressive HER2-positive breast cancer, leading to approval of the first HER2-targeted drug - the monoclonal antibody trastuzumab - almost 25 years ago. Since then, progress has been swift and the impressive clinical activity across multiple trials with monoclonal antibodies, tyrosine kinase inhibitors and antibody-drug conjugates that target HER2 has spawned extensive efforts to develop newer platforms and more targeted therapies. This Review discusses the current standards of care for HER2-positive breast cancer, mechanisms of resistance to HER2-targeted therapy and new therapeutic approaches and agents, including strategies to harness the immune system."
36162822,PubMed,Dexrazoxane for preventing or reducing cardiotoxicity in adults and children with cancer receiving anthracyclines.,https://pubmed.ncbi.nlm.nih.gov/36162822/,"de Baat EC, Mulder RL, Armenian S, Feijen EA, Grotenhuis H, Hudson MM, Mavinkurve-Groothuis AM, Kremer LC, van Dalen EC",The Cochrane database of systematic reviews. 2022 Sep 27.,2022,"This review is the third update of a previously published Cochrane Review. The original review, looking at all possible cardioprotective agents, was split and this part now focuses on dexrazoxane only. Anthracyclines are effective chemotherapeutic agents in the treatment of numerous malignancies. Unfortunately, their use is limited by a dose-dependent cardiotoxicity. In an effort to prevent or reduce this cardiotoxicity, different cardioprotective agents have been studied, including dexrazoxane. To assess the efficacy of dexrazoxane to prevent or reduce cardiotoxicity and determine possible effects of dexrazoxane on antitumour efficacy, quality of life and toxicities other than cardiac damage in adults and children with cancer receiving anthracyclines when compared to placebo or no additional treatment. We searched CENTRAL, MEDLINE and Embase to May 2021. We also handsearched reference lists, the proceedings of relevant conferences and ongoing trials registers. Randomised controlled trials (RCTs) in which dexrazoxane was compared to no additional therapy or placebo in adults and children with cancer receiving anthracyclines. Two review authors independently performed study selection, data extraction, risk of bias and GRADE assessment of included studies. We analysed results in adults and children separately. We performed analyses according to the Cochrane Handbook for Systematic Reviews of Interventions. For this update, we identified 548 unique records. We included three additional RCTs: two paediatric and one adult. Therefore, we included a total of 13 eligible RCTs (five paediatric and eight adult). The studies enrolled 1252 children with leukaemia, lymphoma or a solid tumour and 1269 participants, who were mostly diagnosed with breast cancer. In adults, moderate-quality evidence showed that there was less clinical heart failure with the use of dexrazoxane (risk ratio (RR) 0.22, 95% confidence interval (CI) 0.11 to 0.43; 7 studies, 1221 adults). In children, we identified no difference in clinical heart failure risk between treatment groups (RR 0.20, 95% CI 0.01 to 4.19; 3 studies, 885 children; low-quality evidence). In three paediatric studies assessing cardiomyopathy/heart failure as the primary cause of death, none of the children had this outcome (1008 children, low-quality evidence). In the adult studies, different definitions for subclinical myocardial dysfunction and clinical heart failure combined were used, but pooled analyses were possible: there was a benefit in favour of the use of dexrazoxane (RR 0.37, 95% CI 0.24 to 0.56; 3 studies, 417 adults and RR 0.46, 95% CI 0.33 to 0.66; 2 studies, 534 adults, respectively, moderate-quality evidence). In the paediatric studies, definitions of subclinical myocardial dysfunction and clinical heart failure combined were incomparable, making pooling impossible. One paediatric study showed a benefit in favour of dexrazoxane (RR 0.33, 95% CI 0.13 to 0.85; 33 children; low-quality evidence), whereas another study showed no difference between treatment groups (Fischer exact P = 0.12; 537 children; very low-quality evidence). Overall survival (OS) was reported in adults and overall mortality in children. The meta-analyses of both outcomes showed no difference between treatment groups (hazard ratio (HR) 1.04, 95% 0.88 to 1.23; 4 studies; moderate-quality evidence; and HR 1.01, 95% CI 0.72 to 1.42; 3 studies, 1008 children; low-quality evidence, respectively). Progression-free survival (PFS) was only reported in adults. We subdivided PFS into three analyses based on the comparability of definitions, and identified a longer PFS in favour of dexrazoxane in one study (HR 0.62, 95% CI 0.43 to 0.90; 164 adults; low-quality evidence). There was no difference between treatment groups in the other two analyses (HR 0.95, 95% CI 0.64 to 1.40; 1 study; low-quality evidence; and HR 1.18, 95% CI 0.97 to 1.43; 2 studies; moderate-quality evidence, respectively). In adults, there was no difference in tumour response rate between treatment groups (RR 0.91, 95% CI 0.79 to 1.04; 6 studies, 956 adults; moderate-quality evidence). We subdivided tumour response rate in children into two analyses based on the comparability of definitions, and identified no difference between treatment groups (RR 1.01, 95% CI 0.95 to 1.07; 1 study, 206 children; very low-quality evidence; and RR 0.92, 95% CI 0.84 to 1.01; 1 study, 200 children; low-quality evidence, respectively). The occurrence of secondary malignant neoplasms (SMN) was only assessed in children. The available and worst-case analyses were identical and showed a difference in favour of the control group (RR 3.08, 95% CI 1.13 to 8.38; 3 studies, 1015 children; low-quality evidence). In the best-case analysis, the direction of effect was the same, but there was no difference between treatment groups (RR 2.51, 95% CI 0.96 to 6.53; 4 studies, 1220 children; low-quality evidence). For other adverse effects, results also varied. None of the studies evaluated quality of life. If not reported, the number of participants for an analysis was unclear. Our meta-analyses showed the efficacy of dexrazoxane in preventing or reducing cardiotoxicity in adults treated with anthracyclines. In children, there was a difference between treatment groups for one cardiac outcome (i.e. for one of the definitions used for clinical heart failure and subclinical myocardial dysfunction combined) in favour of dexrazoxane. In adults, no evidence of a negative effect on tumour response rate, OS and PFS was identified; and in children, no evidence of a negative effect on tumour response rate and overall mortality was identified. The results for adverse effects varied. In children, dexrazoxane may be associated with a higher risk of SMN; in adults this was not addressed. In adults, the quality of the evidence ranged between moderate and low; in children, it ranged between low and very low. Before definitive conclusions on the use of dexrazoxane can be made, especially in children, more high-quality research is needed. We conclude that if the risk of cardiac damage is expected to be high, it might be justified to use dexrazoxane in children and adults with cancer who are treated with anthracyclines. However, clinicians and patients should weigh the cardioprotective effect of dexrazoxane against the possible risk of adverse effects, including SMN, for each individual. For children, the International Late Effects of Childhood Cancer Guideline Harmonization Group has developed a clinical practice guideline."
37434399,PubMed,Glutamine metabolic microenvironment drives M2 macrophage polarization to mediate trastuzumab resistance in HER2-positive gastric cancer.,https://pubmed.ncbi.nlm.nih.gov/37434399/,"Hu X, Ma Z, Xu B, Li S, Yao Z, Liang B, Wang J, Liao W, Lin L, Wang C, Zheng S, Wu Q, Huang Q, Yu L, Wang F, Shi M","Cancer communications (London, England). 2023 Aug.",2023,"Trastuzumab is a first-line targeted therapy for human epidermal growth factor receptor-2 (HER2)-positive gastric cancer. However, the inevitable occurrence of acquired trastuzumab resistance limits the drug benefit, and there is currently no effective reversal measure. Existing researches on the mechanism of trastuzumab resistance mainly focused on tumor cells themselves, while the understanding of the mechanisms of environment-mediated drug resistance is relatively lacking. This study aimed to further explore the mechanisms of trastuzumab resistance to identify strategies to promote survival in these patients. Trastuzumab-sensitive and trastuzumab-resistant HER2-positive tumor tissues and cells were collected for transcriptome sequencing. Bioinformatics were used to analyze cell subtypes, metabolic pathways, and molecular signaling pathways. Changes in microenvironmental indicators (such as macrophage, angiogenesis, and metabolism) were verified by immunofluorescence (IF) and immunohistochemical (IHC) analyses. Finally, a multi-scale agent-based model (ABM) was constructed. The effects of combination treatment were further validated in nude mice to verify these effects predicted by the ABM. Based on transcriptome sequencing, molecular biology, and in vivo experiments, we found that the level of glutamine metabolism in trastuzumab-resistant HER2-positive cells was increased, and glutaminase 1 (GLS1) was significantly overexpressed. Meanwhile, tumor-derived GLS1 microvesicles drove M2 macrophage polarization. Furthermore, angiogenesis promoted trastuzumab resistance. IHC showed high glutamine metabolism, M2 macrophage polarization, and angiogenesis in trastuzumab-resistant HER2-positive tumor tissues from patients and nude mice. Mechanistically, the cell division cycle 42 (CDC42) promoted GLS1 expression in tumor cells by activating nuclear factor kappa-B (NF-κB) p65 and drove GLS1 microvesicle secretion through IQ motif-containing GTPase-activating protein 1 (IQGAP1). Based on the ABM and in vivo experiments, we confirmed that the combination of anti-glutamine metabolism, anti-angiogenesis, and pro-M1 polarization therapy had the best effect in reversing trastuzumab resistance in HER2-positive gastric cancer. This study revealed that tumor cells secrete GLS1 microvesicles via CDC42 to promote glutamine metabolism, M2 macrophage polarization, and pro-angiogenic function of macrophages, leading to acquired trastuzumab resistance in HER2-positive gastric cancer. A combination of anti-glutamine metabolism, anti-angiogenesis, and pro-M1 polarization therapy may provide a new insight into reversing trastuzumab resistance."
36914633,PubMed,An anti-HER2 biparatopic antibody that induces unique HER2 clustering and complement-dependent cytotoxicity.,https://pubmed.ncbi.nlm.nih.gov/36914633/,"Weisser NE, Sanches M, Escobar-Cabrera E, O'Toole J, Whalen E, Chan PWY, Wickman G, Abraham L, Choi K, Harbourne B, Samiotakis A, Rojas AH, Volkers G, Wong J, Atkinson CE, Baardsnes J, Worrall LJ, Browman D, Smith EE, Baichoo P, Cheng CW, Guedia J, Kang S, Mukhopadhyay A, Newhook L, Ohrn A, Raghunatha P, Zago-Schmitt M, Schrag JD, Smith J, Zwierzchowski P, Scurll JM, Fung V, Black S, Strynadka NCJ, Gold MR, Presta LG, Ng G, Dixit S",Nature communications. 2023 Mar 13.,2023,"Human epidermal growth factor receptor 2 (HER2) is a receptor tyrosine kinase that plays an oncogenic role in breast, gastric and other solid tumors. However, anti-HER2 therapies are only currently approved for the treatment of breast and gastric/gastric esophageal junction cancers and treatment resistance remains a problem. Here, we engineer an anti-HER2 IgG1 bispecific, biparatopic antibody (Ab), zanidatamab, with unique and enhanced functionalities compared to both trastuzumab and the combination of trastuzumab plus pertuzumab (tras + pert). Zanidatamab binds adjacent HER2 molecules in trans and initiates distinct HER2 reorganization, as shown by polarized cell surface HER2 caps and large HER2 clusters, not observed with trastuzumab or tras + pert. Moreover, zanidatamab, but not trastuzumab nor tras + pert, elicit potent complement-dependent cytotoxicity (CDC) against high HER2-expressing tumor cells in vitro. Zanidatamab also mediates HER2 internalization and downregulation, inhibition of both cell signaling and tumor growth, antibody-dependent cellular cytotoxicity (ADCC) and phagocytosis (ADCP), and also shows superior in vivo antitumor activity compared to tras + pert in a HER2-expressing xenograft model. Collectively, we show that zanidatamab has multiple and distinct mechanisms of action derived from the structural effects of biparatopic HER2 engagement."
33946310,PubMed,Trastuzumab Deruxtecan: Changing the Destiny of HER2 Expressing Solid Tumors.,https://pubmed.ncbi.nlm.nih.gov/33946310/,"Indini A, Rijavec E, Grossi F",International journal of molecular sciences. 2021 Apr 30.,2021,"HER2 targeted therapies have significantly improved prognosis of HER2-positive breast and gastric cancer. HER2 overexpression and mutation is the pathogenic driver in non-small cell lung cancer (NSCLC) and colorectal cancer, however, to date, there are no approved HER2-targeted therapies with these indications. Trastuzumab deruxtecan (T-DXd) is a novel HER2-directed antibody drug conjugate showing significant anti-tumor activity in heavily pre-treated HER2-positive breast and gastric cancer patients. Preliminary data have shown promising objective response rates in patients with HER2-positive NSCLC and colorectal cancer. T-DXd has an acceptable safety profile, however with concerns regarding potentially serious treatment-emergent adverse events. In this review we focus on the pharmacologic characteristics and toxicity profile of T-Dxd, and provide an update on the most recent results of clinical trials of T-DXd in solid tumors. The referenced papers were selected through a PubMed search performed on 16 March 2021 with the following searching terms: T-DXd and breast cancer, or gastric cancer, or non-small cell lung cancer (NSCLC), or colorectal cancer. Oral presentation, abstracts, and posters presented at the American Society of Clinical Oncology (ASCO, Alexandria, VA, USA) 2020 and the European Society for Medical Oncology (ESMO, Lugano, Switzerland) 2020 annual meetings were retrieved for data on T-DXd. We also overview ongoing research and data of combination therapies currently under investigation, which will impact on future therapeutic strategies. Clinicaltrials.gov was searched to identify ongoing clinical trials of T-DXd alone or in combination in solid tumors."
28215665,PubMed,11 years' follow-up of trastuzumab after adjuvant chemotherapy in HER2-positive early breast cancer: final analysis of the HERceptin Adjuvant (HERA) trial.,https://pubmed.ncbi.nlm.nih.gov/28215665/,"Cameron D, Piccart-Gebhart MJ, Gelber RD, Procter M, Goldhirsch A, de Azambuja E, Castro G Jr, Untch M, Smith I, Gianni L, Baselga J, Al-Sakaff N, Lauer S, McFadden E, Leyland-Jones B, Bell R, Dowsett M, Jackisch C, Herceptin Adjuvant (HERA) Trial Study Team","Lancet (London, England). 2017 Mar 25.",2017,"Clinical trials have shown that trastuzumab, a recombinant monoclonal antibody against HER2 receptor, significantly improves overall survival and disease-free survival in women with HER2-positive early breast cancer, but long-term follow-up data are needed. We report the results of comparing observation with two durations of trastuzumab treatment at a median follow-up of 11 years, for patients enrolled in the HERA (HERceptin Adjuvant) trial. HERA (BIG 1-01) is an international, multicentre, open-label, phase 3 randomised trial of 5102 women with HER2-positive early breast cancer, who were enrolled from hospitals in 39 countries between Dec 7, 2001, and June 20, 2005. After completion of all primary therapy (including, surgery, chemotherapy, and radiotherapy as indicated), patients were randomly assigned (1:1:1) to receive trastuzumab for 1 year (once at 8 mg/kg of bodyweight intravenously, then 6 mg/kg once every 3 weeks) or for 2 years (with the same dose schedule), or to the observation group. Primary endpoint is disease-free survival, and analyses are in the intention-to-treat population. Hazard ratios (HRs) were estimated from Cox models, and survival curves were estimated by the Kaplan-Meier method. Comparison of 2 years versus 1 year of trastuzumab is based on 366-day landmark analyses. This study is registered with ClinicalTrials.gov (NCT00045032). Of the 5102 women randomly assigned in the HERA trial, three patients had no evidence of having provided written informed consent to participate. We followed up the intention-to-treat population of 5099 patients (1697 in observation, 1702 in 1-year trastuzumab, and 1700 in 2-years trastuzumab groups). After a median follow-up of 11 years (IQR 10·09-11·53), random assignment to 1 year of trastuzumab significantly reduced the risk of a disease-free survival event (HR 0·76, 95% CI 0·68-0·86) and death (0·74, 0·64-0·86) compared with observation. 2 years of adjuvant trastuzumab did not improve disease free-survival outcomes compared with 1 year of this drug (HR 1·02, 95% CI 0·89-1·17). Estimates of 10-year disease-free survival were 63% for observation, 69% for 1 year of trastuzumab, and 69% for 2 years of trastuzumab. 884 (52%) patients assigned to the observation group selectively crossed over to receive trastuzumab. Cardiac toxicity remained low in all groups and occurred mostly during the treatment phase. The incidence of secondary cardiac endpoints was 122 (7·3%) in the 2-years trastuzumab group, 74 (4·4%) in the 1-year trastuzumab group, and 15 (0·9%) in the observation group. 1 year of adjuvant trastuzumab after chemotherapy for patients with HER2-positive early breast cancer significantly improves long-term disease-free survival, compared with observation. 2 years of trastuzumab had no additional benefit. F Hoffmann-La Roche (Roche)."
33220426,PubMed,Strain-Guided Management of Potentially Cardiotoxic Cancer Therapy.,https://pubmed.ncbi.nlm.nih.gov/33220426/,"Thavendiranathan P, Negishi T, Somerset E, Negishi K, Penicka M, Lemieux J, Aakhus S, Miyazaki S, Shirazi M, Galderisi M, Marwick TH, SUCCOUR Investigators",Journal of the American College of Cardiology. 2021 Feb 2.,2021,"In patients at risk of cancer therapy-related cardiac dysfunction (CTRCD), initiation of cardioprotective therapy (CPT) is constrained by the low sensitivity of ejection fraction (EF) for minor changes in left ventricular (LV) function. Global longitudinal strain (GLS) is a robust and sensitive marker of LV dysfunction, but existing observational data have been insufficient to support a routine GLS-guided strategy for CPT. This study sought to identify whether GLS-guided CPT prevents reduction in LVEF and development of CTRCD in high-risk patients undergoing potentially cardiotoxic chemotherapy, compared with usual care. In this international, multicenter, prospective, randomized controlled trial, 331 anthracycline-treated patients with another heart failure risk factor were randomly allocated to CPT initiation guided by either ≥12% relative reduction in GLS (n = 166) or >10% absolute reduction of LVEF (n = 165). Patients were followed for EF and development of CTRCD (symptomatic EF reduction of >5% or >10% asymptomatic to <55%) over 1 year. Of 331 randomized patients, 2 died, and 22 withdrew consent or were lost to follow-up. Among 307 patients (age: 54 ± 12 years; 94% women; baseline LVEF: 59 ± 6%; GLS: -20.6 ± 2.4%) with a median (interquartile range) follow-up of 1.02 years (0.98 to 1.07 years), most (n = 278) had breast cancer. Heart failure risk factors were prevalent: 29% had hypertension, and 13% had diabetes mellitus. At the 1-year follow-up, although the primary outcome of change in LVEF was not significantly different between the 2 arms, there was significantly greater use of CPT, and fewer patients met CTRCD criteria in the GLS-guided than the EF-guided arm (5.8% vs. 13.7%; p = 0.02), and the 1-year EF was 57 ± 6% versus 55 ± 7% (p = 0.05). Patients who received CPT in the EF-guided arm had a larger reduction in LVEF at follow-up than in the GLS-guided arm (9.1 ± 10.9% vs. 2.9 ± 7.4%; p = 0.03). Although the change in LVEF was not different between the 2 arms as a whole, when patients who received CPT were compared, those in the GLS-guided arm had a significantly lower reduction in LVEF at 1 year follow-up. Furthermore, GLS-guided CPT significantly reduced a meaningful fall of LVEF to the abnormal range. The results support the use of GLS in surveillance for CTRCD. (Strain Surveillance of Chemotherapy for Improving Cardiovascular Outcomes [SUCCOUR]; ACTRN12614000341628)."
38320430,PubMed,Trastuzumab deruxtecan in human epidermal growth factor receptor 2-positive breast cancer brain metastases: a systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/38320430/,"Michelon I, Vilbert M, Marinho AD, Castro CER, Dacoregio MI, Stecca C, Soares LR, Batista MV, Braga S, Saeed A, Cavalcante L",ESMO open. 2024 Feb.,2024,"Trastuzumab deruxtecan (T-DXd) has shown promising results in patients with breast cancer brain metastases (BCBMs). We conducted a systematic review and meta-analysis to evaluate the effectiveness and safety of T-DXd in the human epidermal growth factor receptor 2 (HER2)-positive BCBM population. We searched PubMed, Embase, and Cochrane Library databases as well as American Society of Clinical Oncology (ASCO), European Society for Medical Oncology (ESMO), and San Antonio Breast Cancer Symposium (SABCS) websites for clinical trials (CTs) and observational studies evaluating T-DXd in patients with HER2-positive BCBM. Heterogeneity was assessed with I Ten studies were included, six CTs (n = 189) and four observational studies (n = 130), with a total of 319 patients. The median progression-free survival was 15 months [95% confidence interval (CI) 13.9-16.1 months]. The objective response rate (ORR) was 61% (95% CI 52% to 70%), and the intracranial (IC)-ORR was 61% (95% CI 54% to 69%). No significant differences in ORR and IC-ORR were observed between CTs and observational studies (P = 0.31 and 0.58, respectively). The clinical benefit rate (CBR) was 80% (95% CI 52% to 94%), and the IC-CBR was 70% (95% CI 54% to 82%). The ORR was 68% (95% CI 57% to 77%) in the subgroup of patients with stable BMs and 60% (95% CI 48%-72%) in patients with active BM, with no significant difference between groups (P = 0.35). Our systematic review and meta-analysis supports the IC activity of T-DXd in patients with stable BM and active BM. International Prospective Register of Systematic Reviews (PROSPERO) under the protocol number CRD42023422589."
35255118,PubMed,Disrupting Circadian Rhythm via the PER1-HK2 Axis Reverses Trastuzumab Resistance in Gastric Cancer.,https://pubmed.ncbi.nlm.nih.gov/35255118/,"Wang J, Huang Q, Hu X, Zhang S, Jiang Y, Yao G, Hu K, Xu X, Liang B, Wu Q, Ma Z, Wang Y, Wang C, Wu Z, Rong X, Liao W, Shi M",Cancer research. 2022 Apr 15.,2022,"Trastuzumab is the only approved targeted drug for first-line treatment of HER2-positive advanced gastric cancer, but the high rate of primary resistance and rapid emergence of secondary resistance limit its clinical benefits. We found that trastuzumab-resistant (TR) gastric cancer cells exhibited high glycolytic activity, which was controlled by hexokinase 2 (HK2)-dependent glycolysis with a circadian pattern [higher at zeitgeber time (ZT) 6, lower at ZT18]. Mechanistically, HK2 circadian oscillation was regulated by a transcriptional complex composed of PPARγ and the core clock gene PER1. In vivo and in vitro experiments demonstrated that silencing PER1 disrupted the circadian rhythm of PER1-HK2 and reversed trastuzumab resistance. Moreover, metformin, which inhibits glycolysis and PER1, combined with trastuzumab at ZT6, significantly improved trastuzumab efficacy in gastric cancer. Collectively, these data introduce the circadian clock into trastuzumab therapy and propose a potentially effective chronotherapy strategy to reverse trastuzumab resistance in gastric cancer. In trastuzumab-resistant HER2-positive gastric cancer, glycolysis fluctuates with a circadian oscillation regulated by the BMAL1-CLOCK-PER1-HK2 axis, which can be disrupted with a metformin-based chronotherapy to overcome trastuzumab resistance."
33480963,PubMed,Efficacy of Margetuximab vs Trastuzumab in Patients With Pretreated ERBB2-Positive Advanced Breast Cancer: A Phase 3 Randomized Clinical Trial.,https://pubmed.ncbi.nlm.nih.gov/33480963/,"Rugo HS, Im SA, Cardoso F, Cortés J, Curigliano G, Musolino A, Pegram MD, Wright GS, Saura C, Escrivá-de-Romaní S, De Laurentiis M, Levy C, Brown-Glaberman U, Ferrero JM, de Boer M, Kim SB, Petráková K, Yardley DA, Freedman O, Jakobsen EH, Kaufman B, Yerushalmi R, Fasching PA, Nordstrom JL, Bonvini E, Koenig S, Edlich S, Hong S, Rock EP, Gradishar WJ, SOPHIA Study Group",JAMA oncology. 2021 Apr 1.,2021,"ERRB2 (formerly HER2)-positive advanced breast cancer (ABC) remains typically incurable with optimal treatment undefined in later lines of therapy. The chimeric antibody margetuximab shares ERBB2 specificity with trastuzumab but incorporates an engineered Fc region to increase immune activation. To compare the clinical efficacy of margetuximab vs trastuzumab, each with chemotherapy, in patients with pretreated ERBB2-positive ABC. The SOPHIA phase 3 randomized open-label trial of margetuximab plus chemotherapy vs trastuzumab plus chemotherapy enrolled 536 patients from August 26, 2015, to October 10, 2018, at 166 sites in 17 countries. Eligible patients had disease progression on 2 or more prior anti-ERBB2 therapies and 1 to 3 lines of therapy for metastatic disease. Data were analyzed from February 2019 to October 2019. Investigators selected chemotherapy before 1:1 randomization to margetuximab, 15 mg/kg, or trastuzumab, 6 mg/kg (loading dose, 8 mg/kg), each in 3-week cycles. Stratification factors were metastatic sites (≤2, >2), lines of therapy (≤2, >2), and chemotherapy choice. Sequential primary end points were progression-free survival (PFS) by central blinded analysis and overall survival (OS). All α was allocated to PFS, followed by OS. Secondary end points were investigator-assessed PFS and objective response rate by central blinded analysis. A total of 536 patients were randomized to receive margetuximab (n = 266) or trastuzumab (n = 270). The median age was 56 (27-86) years; 266 (100%) women were in the margetuximab group, while 267 (98.9%) women were in the trastuzumab group. Groups were balanced. All but 1 patient had received prior pertuzumab, and 489 (91.2%) had received prior ado-trastuzumab emtansine. Margetuximab improved primary PFS over trastuzumab with 24% relative risk reduction (hazard ratio [HR], 0.76; 95% CI, 0.59-0.98; P = .03; median, 5.8 [95% CI, 5.5-7.0] months vs 4.9 [95% CI, 4.2-5.6] months; October 10, 2018). After the second planned interim analysis of 270 deaths, median OS was 21.6 months with margetuximab vs 19.8 months with trastuzumab (HR, 0.89; 95% CI, 0.69-1.13; P = .33; September 10, 2019), and investigator-assessed PFS showed 29% relative risk reduction favoring margetuximab (HR, 0.71; 95% CI, 0.58-0.86; P < .001; median, 5.7 vs 4.4 months; September 10, 2019). Margetuximab improved objective response rate over trastuzumab: 22% vs 16% (P = .06; October 10, 2018), and 25% vs 14% (P < .001; September 10, 2019). Incidence of infusion-related reactions, mostly in cycle 1, was higher with margetuximab (35 [13.3%] vs 9 [3.4%]); otherwise, safety was comparable. In this phase 3 randomized clinical trial, margetuximab plus chemotherapy had acceptable safety and a statistically significant improvement in PFS compared with trastuzumab plus chemotherapy in ERBB2-positive ABC after progression on 2 or more prior anti-ERBB2 therapies. Final OS analysis is expected in 2021. ClinicalTrials.gov Identifier: NCT02492711."
