Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Pages,Issue,Volume,Journal Abbreviation,Publisher,Place,Language,Country,Exposure_Matched,Intervention_Matched,Population_Matched,Humans_Adult_Flag,Population_Notes,Extra
40884047,journalArticle,2025,"Omland, Torbjørn; Heck, Siri Lagethon; Holte, Espen; Lilleaasen, Albulena Mecinaj; Gynnild, Mari Nordbø; Fagerland, Morten Wang; Vinje-Jakobsen, Victoria; Næs, Anne-Katrine Lislegaard; Blix, Egil Støre; Larsen, Alf Inge; Geisler, Jürgen; Gulati, Geeta; Wethal, Torgeir",Sacubitril/Valsartan and Prevention of Cardiac Dysfunction During Adjuvant Breast Cancer Therapy: The PRADA II Randomized Clinical Trial.,Circulation,,1524-4539,10.1161/CIRCULATIONAHA.125.076616,https://pubmed.ncbi.nlm.nih.gov/40884047/,"Anthracycline- and trastuzumab-associated cardiotoxicity may lead to cardiac dysfunction and dose reduction or halt of potentially life-saving adjuvant cancer therapy. Whether angiotensin receptor/neprilysin inhibitors can prevent cancer therapy-related cardiac dysfunction and injury remains to be established. PRADA II (Prevention of Cardiac Dysfunction During Adjuvant Breast Cancer Therapy) was a randomized, parallel-group, placebo-controlled, double-blind, multicenter trial conducted at 4 academic medical centers in Norway that evaluated the cardioprotective effect of sacubitril/valsartan versus placebo administered concomitantly with anthracycline-containing breast cancer therapy and continued for 18 months. The target dose was 97/103 mg BID. The primary outcome was change in left ventricular ejection fraction by cardiovascular magnetic resonance from prior to initiation of chemotherapy to 18 months thereafter. Secondary outcomes included change in echocardiographic global longitudinal strain, circulating cardiac troponins, and NT-proBNP (N-terminal pro-B-type natriuretic peptide). In total, 138 women (mean±SD age: 54.0±9.4 years) were randomized. The overall decline in left ventricular ejection fraction from baseline to 18 months was 2.2 percentage points (95% CI, 1.1 to 3.3) in the placebo group and 1.1 percentage points (95% CI, -0.01 to 2.2) in the sacubitril/valsartan group. The between-group difference was 1.1 percentage points (95% CI, -0.4 to 2.7;  Anthracycline-based treatment for early breast cancer was associated with a reduction in left ventricular ejection fraction that was not significantly attenuated by sacubitril/valsartan. URL: https://www.clinicaltrials.gov; Unique identifier: NCT03760588.",10/21/2025,1136-1145,16,152,Circulation,,,eng,United States,"anthracycline, trastuzumab","sacubitril, valsartan",Human (assumed),Yes,,Strict PICO; RCT+Observational
40619592,journalArticle,2025,"Chadwick, Jessica; Berry, Colin; Carpenter, Meredith A; Gulati, Geeta; Heck, Siri Lagethon; Hinterberg, Michael A; Holman, Rury R; Lee, Matthew M Y; Omland, Torbjørn; Paterson, Clare; Petrie, Mark C; Sattar, Naveed; Shah, Svati H; Shrestha, Sama; Sourij, Harald; Troth, Emma V; Vinje, Victoria; Williams, Stephen A",Utilization of Proteomic Measures for Early Detection of Drug Benefits and Adverse Effects.,Journal of clinical pharmacology,,1552-4604,10.1002/jcph.70077,https://pubmed.ncbi.nlm.nih.gov/40619592/,"Recognition of benefits and adverse effects of therapies in earlier clinical trial phases could improve the safety, efficiency, and cost of clinical trials. Using four clinical trials representing a diverse set of diseases and drug classes (EXSCEL: exenatide/GLP-1 RA, SUGAR-DM-HF: empagliflozin/SGLT2i, PRADA: epirubicin/anthracycline, and AMPLE: abatacept/immunomodulator and adalimumab/TNF inhibitor), we hypothesized that previously validated proteomic measures for cardiometabolic outcomes could enable the detection of beneficial and adverse drug effects in fewer participants over a shorter follow-up period. Changes in SomaSignal",11/1/2025,1460-1473,11,65,J Clin Pharmacol,,,eng,England,"anthracycline, epirubicin",empagliflozin,participant,Yes,,Strict PICO; RCT+Observational
39967198,journalArticle,2025,"Juhasz, Vencel; Quinaglia, Thiago; Drobni, Zsofia D; Heemelaar, Julius C; Neuberg, Donna S; Han, Yuchi; Ky, Bonnie; Kwong, Raymond Y; Januzzi, James L; Asnani, Aarti; Redd, Robert A; Mousavi, Negareh; Jerosch-Herold, Michael; Scherrer-Crosbie, Marielle; Neilan, Tomas G",Atorvastatin and Myocardial Extracellular Volume Expansion During Anthracycline-Based Chemotherapy.,JACC. CardioOncology,,2666-0873,10.1007/s12170-020-00650-8,https://pubmed.ncbi.nlm.nih.gov/39967198/,"In the STOP-CA (Statins to Prevent the Cardiotoxicity From Anthracyclines) trial, atorvastatin preserved the left ventricular ejection fraction among patients with lymphoma treated with anthracyclines. The protective mechanisms are currently unclear. The aim of this study was to test the effect of atorvastatin on the anthracycline-associated increase in myocardial extracellular volume (ECV) using cardiac magnetic resonance imaging (MRI). Cardiac MRI with mapping was performed at baseline and at 12-month follow-up. ECV was calculated, and the primary endpoint was a ≥3% increase. Increases of ≥1 SD in native T1 and T2 times and ECV were secondary endpoints. The subgroup included 171 participants with paired cardiac MRI scans, and 127 had contrast scans of appropriate quality (median age 52 years, 47% women). The proportion of participants with ≥3% increases in ECV was lower in the atorvastatin compared with the placebo group (8% vs 29%; P = 0.002; OR: 0.20; 95% CI: 0.06 to 0.59). A ≥3% increase in ECV was associated with an 8.4% decrease in left ventricular ejection fraction at follow-up (95% CI: -6.31 to -10.38; P < 0.001). The proportion of participants with ≥1-SD increases in T1 and T2 times was statistically similar between groups at 12 months. At 24 months, there were fewer heart failure events among those without ≥3% increases in ECV (8% vs 24%; P = 0.054), though not statistically significantly. Compared with placebo, atorvastatin limited ECV expansion among participants with lymphoma undergoing anthracycline chemotherapy. This study is the first to provide mechanistic insight into statins' cardioprotective effects with anthracyclines. (Statins to Prevent the Cardiotoxicity From Anthracyclines [STOP-CA]; NCT02943590).",2/1/2025,125-137,2,7,JACC CardioOncol,,,eng,United States,anthracycline,"atorvastatin, statin","participant, patient",Yes,,Strict PICO; RCT+Observational
39801159,journalArticle,2025,"Shugg, Tyler; Nguyen, Tk; Hua, Xuesi; Richards, Blair; Rae, James; Dess, Robert; Perry, Daniel; Kay, Bradley; Hayek, Salim S; Leja, Monika; Luzum, Jasmine A",Factors Associated With the Recovery of Left Ventricular Ejection Fraction in Patients With Anthracycline-Induced Left Ventricular Dysfunction.,Journal of cardiovascular pharmacology and therapeutics,,1940-4034,10.33963/kp.15163,https://pubmed.ncbi.nlm.nih.gov/39801159/,"Neurohormonal blocking drugs, like beta-blockers, angiotensin-converting enzyme inhibitors (ACEIs), and angiotensin receptor blockers (ARBs), are recommended for treating anthracycline-induced left ventricular dysfunction (AILVD). However, there is limited evidence supporting their benefit. Therefore, this study evaluated associations of neurohormonal blockers and other clinical factors with recovery of left ventricular ejection fraction (LVEF) in patients with AILVD. This retrospective chart review assessed patients treated with at least one dose of anthracycline, then had ≥10% LVEF reduction or post-anthracycline LVEF value <50%, and then had a follow-up LVEF measurement ≥90 days later. The primary endpoint was LVEF recovery (highest follow-up LVEF-lowest LVEF post-anthracycline). Variables from univariable tests with  Out of 104 patients, 83% were female, 86% self-reported white race, 53% had breast cancer, median (IQR) age was 52 (22) years, and LVEF recovery was 14% (16%). The final multivariable model included 2 significant variables: beta-blocker dose after anthracycline exposure (every 25 mg increase in beta-blocker dose was associated with 5.0% increase in LVEF recovery;  In patients with AILVD, a higher beta-blocker dose and earlier detection of LVEF reduction post-anthracycline were significantly and independently associated with improved LVEF recovery. These findings need to be validated in a larger, independent cohort.",1/1/2025,1.07425E+16,,30,J Cardiovasc Pharmacol Ther,,,eng,United States,anthracycline,arb,patient,Yes,,Strict PICO; RCT+Observational
39479329,journalArticle,2024,"Austin, David; Maier, Rebecca H; Akhter, Nasima; Sayari, Mohammad; Ogundimu, Emmanuel; Maddox, Jamie M; Vahabi, Sharareh; Humphreys, Alison C; Graham, Janine; Oxenham, Helen; Haney, Sophie; Cresti, Nicola; Verrill, Mark; Osborne, Wendy; Wright, Kathryn L; Goranova, Rebecca; Bailey, James R; Kalakonda, Nagesh; Macheta, Mac; Kilner, Mari F; Young, Moya E; Morley, Nick J; Neelakantan, Pratap; Gilbert, Georgia; Thomas, Byju K; Graham, Richard J; Fujisawa, Takeshi; Mills, Nicholas L; Hildreth, Victoria; Prichard, Jonathan; Kasim, Adetayo S; Hancock, Helen C; Plummer, Chris",Preventing Cardiac Damage in Patients Treated for Breast Cancer and Lymphoma: The PROACT Clinical Trial.,JACC. CardioOncology,,2666-0873,10.1093/annonc/mdt182,https://pubmed.ncbi.nlm.nih.gov/39479329/,"Cardiotoxicity is a concern for cancer survivors undergoing anthracycline chemotherapy. Enalapril has been explored for its potential to mitigate cardiotoxicity in cancer patients. The dose-dependent cardiotoxicity effects of anthracyclines can be detected early through the biomarker cardiac troponin. The PROACT (Preventing Cardiac Damage in Patients Treated for Breast Cancer and Lymphoma) clinical trial assessed the effectiveness of enalapril in preventing cardiotoxicity, manifesting as myocardial injury and cardiac function impairment, in patients undergoing high-dose anthracycline-based chemotherapy for breast cancer or non-Hodgkin lymphoma. This prospective, multicenter, open-label, randomized controlled trial employed a superiority design with observer-blinded endpoints. A total of 111 participants, scheduled for 6 cycles of chemotherapy with a planned dose of ≥300 mg/m Myocardial injury, indicated by cardiac troponin T (≥14 ng/L), during and 1 month after chemotherapy, was observed in 42 (77.8%) of 54 patients in the enalapril group vs 45 (83.3%) of 54 patients in the standard care group (OR: 0.65; 95% CI: 0.23-1.78). Injury detected by cardiac troponin I (>26.2 ng/L) occurred in 25 (47.2%) of 53 patients on enalapril compared with 24 (45.3%) of 53 in standard care (OR: 1.10; 95% CI: 0.50-2.38). A relative decline of more than 15% from baseline in left ventricular global longitudinal strain was observed in 10 (21.3%) of 47 patients on enalapril and 9 (21.9%) of 41 in standard care (OR: 0.95; 95% CI: 0.33-2.74). An absolute decline of >10% to <50% in left ventricular ejection fraction was seen in 2 (4.1%) of 49 patients on enalapril vs none in patients in standard care. Adding enalapril to standard care during chemotherapy did not prevent cardiotoxicity in patients receiving high-dose anthracycline-based chemotherapy. (PROACT: Can we prevent Chemotherapy-related Heart Damage in Patients With Breast Cancer and Lymphoma?; NCT03265574).",10/1/2024,684-696,5,6,JACC CardioOncol,,,eng,United States,anthracycline,enalapril,"participant, patient",Yes,,Strict PICO; RCT+Observational
39436588,journalArticle,2024,"Marrazzo, Livia; Meattini, Icro; Becherini, Carlotta; Salvestrini, Viola; Visani, Luca; Barletta, Giuseppe; Saieva, Calogero; Del Bene, Maria Riccarda; Pilato, Giuseppe; Desideri, Isacco; Arilli, Chiara; Paoletti, Lisa; Russo, Serenella; Scoccianti, Silvia; Martella, Francesca; Francolini, Giulio; Simontacchi, Gabriele; Nori Cucchiari, Jacopo; Pellegrini, Roberto; Livi, Lorenzo; Pallotta, Stefania",Subclinical cardiac damage monitoring in breast cancer patients treated with an anthracycline-based chemotherapy receiving left-sided breast radiation therapy: subgroup analysis from a phase 3 trial.,La Radiologia medica,,1826-6983,10.1158/1538-7445.Sabcs22-pd8-03,https://pubmed.ncbi.nlm.nih.gov/39436588/,"This study, derived from the phase 3 SAFE trial (ClinicalTrials.gov identifier: NCT2236806), explores subclinical cardiac damage in breast cancer patients receiving anthracycline-based chemotherapy and left-sided breast radiation therapy (RT). Eligible patients were randomized to a cardioprotective pharmacological therapy (bisoprolol, ramipril, or both) or placebo, with cardiac surveillance at multiple time-point using standard and 3-dimensional echocardiography. Dosimetric parameters were analysed, including mean heart dose (MHD) and various metrics for heart substructures, employing advanced contouring techniques and auto-contouring software. In the analysis of left-sided breast RT patients, the study encompassed 39 out of 46 irradiated individuals, focusing on GLS and 3D-LVEF outcomes with ≥ 10% worsening, defined as subclinical heart damage. Distinct RT schedules were used, with placebo exhibiting the highest ≥ 10% worsening (36.4%). In terms of treatment arms, bisoprolol exhibited 11.1% worsening, while ramipril 16.7% and bisoprolol + ramipril 25%. For patients with no subclinical damage, the mean MHD was 1.5 Gy; for patients with subclinical heart damage, the mean MHD was 1.6 Gy (p = 0.94). Dosimetric parameters related to heart and heart substructures (left anterior descending artery, right and left atrium, right and left ventricle) showed no statistically significant differences between patients with and without subclinical damage. Our results emphasize the crucial role of cardioprotective measures in mitigating adverse effects, highlighting RT as having negligible influence on cardiac performance. An extended follow-up assessment of the whole series is warranted to determine whether a subclinical effect could significantly influence clinical outcomes and cardiac events.",12/1/2024,1926-1935,12,129,Radiol Med,,,eng,Italy,anthracycline,"bisoprolol, ramipril",patient,Yes,,Strict PICO; RCT+Observational
38977536,journalArticle,2024,"Kettana, Khlood M; El-Haggar, Sahar M; Alm El-Din, Mohamed A; El-Afify, Dalia R",Possible protective effect of rosuvastatin in chemotherapy-induced cardiotoxicity in HER2 positive breast cancer patients: a randomized controlled trial.,"Medical oncology (Northwood, London, England)",,1559-131X,10.1097/FJC.0b013e31804a5e34,https://pubmed.ncbi.nlm.nih.gov/38977536/,"Cardiotoxicity is a side effect of chemotherapy in human epidermal growth factor receptor 2 (HER2) positive breast cancer patients receiving both anthracyclines and trastuzumab. We looked for a possible protective effect of rosuvastatin against chemotherapy-induced cardiotoxicity. Methods: 50 newly diagnosed HER2 positive breast cancer patients were randomly allocated into two groups: 25patients in each. Group 1(control group) received doxorubicin for 4 cycles (3 months) followed by trastuzumab adjuvant therapy. Group 2 (treatment group) received doxorubicin for 4 cycles (3 months) followed by trastuzumab adjuvant therapy and 20 mg of oral rosuvastatin 24 h before the first cycle of chemotherapy and once daily for the rest of the follow-up period (6 months). Transthoracic echocardiography was done, and blood samples were collected for patients 24 h before the initiation of therapy, after 3 months and after 6 months to assess serum levels of high sensitivity cardiac troponin I (hs-cTnI), Myeloperoxidase (MPO), Interleukin-6 (IL-6) and Alanine aminotransferase (ALT). The study was retrospectively registered in Clinical Trials.gov in April 2022. Its ID is NCT05338723. Compared to control group, Rosuvastatin-treated group had a significantly lower decline in LVEF after 3 months and after 6 months. They had significantly lower Hs-cTnI and IL-6 after 3 months and after 6 months, and significantly lower MPO after 6 months. Four patients in control group experienced cardiotoxicity while no one in rosuvastatin-treated group. Rosuvastatin attenuated cardiotoxicity, so it is a promising protective agent against chemotherapy-induced cardiotoxicity.",7/8/2024,196,8,41,Med Oncol,,,eng,United States,"anthracycline, doxorubicin, trastuzumab",rosuvastatin,"human, patient",Yes,,Strict PICO; RCT+Observational
38380861,journalArticle,2024,"Nemec, Ronald; Scherrer-Crosbie, Marielle; Abramson, Jeremy S; Redd, Robert; Gilman, Hannah K; Ho, Terry; Wu, Jessica; Heemelaar, Julius; Neuberg, Donna; Hochberg, Ephraim P; Barnes, Jeffrey A; Armand, Philippe; Jacobsen, Eric D; Jacobson, Caron A; Kim, Austin I; Friedman, Robb S; LaCasce, Ann S; Neilan, Tomas G; Soumerai, Jacob D",Effect of atorvastatin versus placebo on efficacy in patients with diffuse large B-cell lymphoma receiving R-CHOP.,Leukemia & lymphoma,,1029-2403,10.1038/sj.leu.2402476,https://pubmed.ncbi.nlm.nih.gov/38380861/,"STOP-CA was a multicenter, double-blind, randomized, placebo-controlled trial comparing atorvastatin to placebo in treatment-naïve lymphoma patients receiving anthracycline-based chemotherapy. We performed a preplanned subgroup to analyze the impact of atorvastatin on efficacy in patients with diffuse large B-cell lymphoma (DLBCL). Patients received rituximab, cyclophosphamide, doxorubicin, vincristine, and prednisone (R-CHOP) at standard doses for six 21-day cycles and were randomly assigned to receive atorvastatin 40 mg daily (",6/1/2024,783-788,6,65,Leuk Lymphoma,,,eng,United States,"anthracycline, doxorubicin",atorvastatin,patient,Yes,,Strict PICO; RCT+Observational
36926423,journalArticle,2023,"Karvandi, Mersede; Ghadyani, Mojtaba; Mohebbi, Nahid; Tabarraee, Mehdi; Salari, Sina",Evaluation of the Effect of Carvedilol in Preventing Right Ventricular Dysfunction in Breast Cancer Patients Receiving Anthracycline.,Advanced biomedical research,,2277-9175,10.4103/abr.abr_134_21,https://pubmed.ncbi.nlm.nih.gov/36926423/,"Today, it has been shown that it is possible for right ventricular (RV) wall motion abnormalities or RV functional disorders to occur during cancer treatment. Now, considering the effect of carvedilol on beta 1, 2, and alpha receptors and its antioxidant properties, it seems that it can prevent RV abnormalities. Therefore, the aim of this study was to investigate the possible protective effects of carvedilol in preventing RV dysfunction in patients with breast cancer treated with anthracyclines. The present single-blind clinical trial study was performed on 23 patients with breast cancer that 12 of them received only the anthracycline antineoplastic doxorubicin (Adriamycin The two parameters of RV ejection fraction and RV fractional area change in the carvedilol group with a mean of 66.41% ± 8.10% and 51.85% ± 6.89% were slightly higher than the control group with a mean of 64.58% ± 6.83% and 50.48 ± 5.79%, respectively, which was not statistically significant ( According to the results of the present study, the effect of using carvedilol as a preservative on improving RV function was seen compared to the control group, although this difference was not statistically significant.",1/1/2023,5,,12,Adv Biomed Res,,,eng,India,"anthracycline, doxorubicin",carvedilol,patient,Yes,,Strict PICO; RCT+Observational
31570470,journalArticle,2019,"Georgakopoulos, Peter; Kyriakidis, Michael; Perpinia, Anastasia; Karavidas, Apostolos; Zimeras, Stelios; Mamalis, Nikolaos; Kouvela, Marousa; Charpidou, Andriani",The Role of Metoprolol and Enalapril in the Prevention of Doxorubicin-induced Cardiotoxicity in Lymphoma Patients.,Anticancer research,,1791-7530,10.21873/anticanres.13769,https://pubmed.ncbi.nlm.nih.gov/31570470/,"Anthracyclines, such as doxorubicin, though widely used in anticancer therapy, they are associated with cardiotoxic side-effects. The aim of this trial was to investigate long-term follow-up cardiotoxicity findings in patients treated with doxorubicin and concomitant metoprolol or enalapril 10 years earlier. Overall, 147 patients were randomized into the treatment arms. A total of 125 patients treated with doxorubicin without evidence of heart disease at the start of chemotherapy were analyzed. They were followed-up for up to 10 years after treatment start. A total of 47 patients completed the follow-up and 21 patients died, none due to cardiotoxicity events. Clinical signs of heart failure were not seen in any patients and no statistically significant differences between baseline and 10-year findings were seen for echocardiographic variables. No evidence of long-term cardiotoxicity was seen and nor metoprolol or enalapril offered an additional benefit.",10/1/2019,5703-5707,10,39,Anticancer Res,,,eng,Greece,"anthracycline, doxorubicin","enalapril, metoprolol",patient,Yes,,Strict PICO; RCT+Observational
