Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Pages,Issue,Volume,Journal Abbreviation,Publisher,Place,Language,Country,Exposure_Matched,Intervention_Matched,Population_Matched,Humans_Adult_Flag,Population_Notes,Extra
10.1093/annonc/mdj134,journal-article,2006,"Marty, M.; Espié, M.; Llombart, A.; Monnier, A.; Rapoport, B.L.; Stahalova, V.",Multicenter randomized phase III study of the cardioprotective effect of dexrazoxane (Cardioxane®) in advanced/metastatic breast cancer patients treated with anthracycline-based chemotherapy,Annals of Oncology,,0923-7534,10.1093/annonc/mdj134,https://doi.org/10.1093/annonc/mdj134,,,614-622,4,17,Annals of Oncology,Elsevier BV,,en,Unknown,anthracycline,dexrazoxane,patient,Yes,,Strict PICO; RCT+Observational
10.1093/annonc/mdl413,journal-article,2007,"Mouridsen, H.T.; Langer, S.W.; Buter, J.; Eidtmann, H.; Rosti, G.; de Wit, M.; Knoblauch, P.; Rasmussen, A.; Dahlstrøm, K.; Jensen, P.B.; Giaccone, G.",Treatment of anthracycline extravasation with Savene (dexrazoxane): results from two prospective clinical multicentre studies,Annals of Oncology,,0923-7534,10.1093/annonc/mdl413,https://doi.org/10.1093/annonc/mdl413,,,546-550,3,18,Annals of Oncology,Elsevier BV,,en,Unknown,anthracycline,dexrazoxane,Human (assumed),Yes,,Strict PICO; RCT+Observational
10.1186/s12885-016-2654-x,journal-article,2016,"Schuler, Markus K.; Gerdes, Sebastian; West, Antje; Richter, Stephan; Busemann, Christoph; Hentschel, Leopold; Lenz, Felicitas; Kopp, Hans-Georg; Ehninger, Gerhard; Reichardt, Peter; Pink, Daniel",Efficacy and safety of Dexrazoxane (DRZ) in sarcoma patients receiving high cumulative doses of anthracycline therapy – a retrospective study including 32 patients,BMC Cancer,,1471-2407,10.1186/s12885-016-2654-x,https://doi.org/10.1186/s12885-016-2654-x,,,,1,16,BMC Cancer,Springer Science and Business Media LLC,,en,Unknown,anthracycline,dexrazoxane,patient,Yes,,Strict PICO; RCT+Observational
10.4103/abr.abr_134_21,journal-article,2023,"Karvandi, Mersede; Ghadyani, Mojtaba; Mohebbi, Nahid; Tabarraee, Mehdi; Salari, Sina",Evaluation of the Effect of Carvedilol in Preventing Right Ventricular Dysfunction in Breast Cancer Patients Receiving Anthracycline,Advanced Biomedical Research,,2277-9175,10.4103/abr.abr_134_21,https://doi.org/10.4103/abr.abr_134_21,"Background: Today, it has been shown that it is possible for right ventricular (RV) wall motion abnormalities or RV functional disorders to occur during cancer treatment. Now, considering the effect of carvedilol on beta 1, 2, and alpha receptors and its antioxidant properties, it seems that it can prevent RV abnormalities. Therefore, the aim of this study was to investigate the possible protective effects of carvedilol in preventing RV dysfunction in patients with breast cancer treated with anthracyclines. Materials and Methods: The present single-blind clinical trial study was performed on 23 patients with breast cancer that 12 of them received only the anthracycline antineoplastic doxorubicin (Adriamycin®) chemotherapy (control group) and 11 patients received carvedilol in addition to anthracycline. To evaluate the effect of carvedilol, patients underwent transthoracic echocardiography before intervention and 2 weeks after the end of treatment with anthracyclines. Results: The two parameters of RV ejection fraction and RV fractional area change in the carvedilol group with a mean of 66.41% ± 8.10% and 51.85% ± 6.89% were slightly higher than the control group with a mean of 64.58% ± 6.83% and 50.48 ± 5.79%, respectively, which was not statistically significant (P &gt; 0.05). In contrast, RV S wave tissue Doppler imaging (S-TDI) in the control group with a mean of 0.13 ± 0.02 m/s was significantly lower than the carvedilol group with a mean of 0.14 ± 0.02 m/s (P = 0.022). Conclusion: According to the results of the present study, the effect of using carvedilol as a preservative on improving RV function was seen compared to the control group, although this difference was not statistically significant.",,,1,12,,Medknow,,en,Unknown,"anthracycline, doxorubicin",carvedilol,patient,Yes,,Strict PICO; RCT+Observational
10.1093/annonc/mdy270.188,journal-article,2018,"Munster, P.N.; Krischer, J.; Tamura, R.; Bello-Matricaria, L.; Fink, A.; McCaskill-Stevens, W.; Guglin, M.",Randomized trial of lisinopril or carvedilol for the prevention of cardiotoxicity in patients with early stage HER2-positive breast cancer receiving trastuzumab,Annals of Oncology,,0923-7534,10.1093/annonc/mdy270.188,https://doi.org/10.1093/annonc/mdy270.188,,,viii61,,29,Annals of Oncology,Elsevier BV,,en,Unknown,trastuzumab,"carvedilol, lisinopril",patient,Yes,,Strict PICO; RCT+Observational
10.35401/2541-9897-2024-9-1-37-44,journal-article,2024,"Kanorskiy, S. G.; Pavlovets, V. P.",Long-Term Effects of Sacubitril/Valsartan After Chemotherapy for Breast Cancer in Patients With Chronic heart Failure,Innovative Medicine of Kuban,,2541-9897,10.35401/2541-9897-2024-9-1-37-44,https://doi.org/10.35401/2541-9897-2024-9-1-37-44,"Background: As the survival of patients with malignant neoplasms is improving, the urgent need for cardioprotective agents to counteract toxic effects of chemotherapy is growing.Objective: To compare the cardioprotective efficacy of sacubitril/valsartan and candesartan in women with chronic heart failure and baseline reduced left ventricular ejection fraction (LVEF) during a 5-year prospective follow-up after chemotherapy for breast cancer.Materials and methods: In this randomized study, 127 women with chronic heart failure and reduced LVEF after radical surgical treatment of breast cancer received potentially cardiotoxic adjuvant polychemotherapy (fluorouracil+ doxorubicin + cyclophosphamide). In addition, the patients received sacubitril/valsartan at a dose of up to 97/103 mg twice daily (n = 63) or candesartan at a dose of up to 32 mg once daily (n = 65), and this treatment was monitored for 5 years.Results: The combination of sacubitril/valsartan was significantly superior to candesartan in improving left ventricular function and reducing the burden of ventricular arrhythmias and the risk of cardiovascular death (P = .039) at the long-term follow-up. Sacubitril/valsartan group and candesartan group did not differ in terms of mortality due to breast cancer progression or recurrence (P = .628).Conclusions: Sacubitril/valsartan can be considered an effective and safe option for protecting the cardiovascular system during potentially cardiotoxic polychemotherapy for breast cancer in patients with chronic heart failure and baseline reduced LVEF.",,37-44,1,,Innovacionnaâ medicina Kubani,Scientific Research Institute - Ochapovsky Regional Clinical Hospital No 1,,,Unknown,doxorubicin,"candesartan, sacubitril, valsartan",patient,Yes,,Strict PICO; RCT+Observational
10.55503/2790-6744.1545,journal-article,2024,"Tanking, Chonthicha; Wuttichaipradit, Chanwit; Samdaengpan, Chayanee; Siripaibun, Jomtana; Manahwan,R.N, Siriwan; Trikesornnopamas, Bundhitwong; Budchala, Phakawan; Muangsillapasart, Viroj",Atorvastatin in Preventing Anthracycline-Induced Cardiotoxicity in Low-Risk Breast Cancer Patients: A Randomized Controlled Trial (ATOPACT-low),Journal of the Hong Kong College of Cardiology,,2790-6744,10.55503/2790-6744.1545,https://doi.org/10.55503/2790-6744.1545,,,,6,31,Journal of the Hong Kong College of Cardiology,Hong Kong College of Cardiology,,en,Unknown,anthracycline,atorvastatin,patient,Yes,,Strict PICO; RCT+Observational
10.1200/jco.1999.17.3.880,journal-article,1999,"Sparano, Joseph A.; Speyer, James; Gradishar, William J.; Liebes, Leonard; Sridhara, Rajeshwari; Mendoza, Sandra; Fry, David; Egorin, Merrill J.",Phase I Trial of Escalating Doses of Paclitaxel Plus Doxorubicin and Dexrazoxane in Patients With Advanced Breast Cancer,Journal of Clinical Oncology,,0732-183X; 1527-7755,10.1200/jco.1999.17.3.880,https://doi.org/10.1200/jco.1999.17.3.880,"PURPOSE: To determine the maximum-tolerable dose (MTD) of paclitaxel given as a 3-hour intravenous (IV) infusion that could be used in conjunction with doxorubicin and dexrazoxane, and to determine the effect of dexrazoxane on the pharmacokinetics of paclitaxel and doxorubicin. PATIENTS AND METHODS: Twenty-five patients with advanced breast cancer received dexrazoxane (600 mg/m2 by IV infusion over 15 minutes), followed 15 minutes later by doxorubicin (60 mg/m2 IV), followed 15 minutes later by paclitaxel (150 or 175 mg/m2 by IV infusion over 3 hours) in cohorts of three to six patients using a standard phase I design without (group A) and with (group B) granulocyte colony-stimulating factor (G-CSF). Treatment continued until there was a substantial decrease in the left ventricular ejection fraction (LVEF), congestive heart failure, progressive disease, or physician discretion to discontinue. RESULTS: The MTD of paclitaxel was 150 mg/m2, and adjunctive therapy with G-CSF was required to prevent febrile neutropenia. Dexrazoxane had no significant effect on the pharmacokinetics of paclitaxel or doxorubicin. After a median cumulative doxorubicin dose of 360 mg/m2 (range, 60 to 870 mg/m2), no patient developed congestive heart failure or had a decrease in LVEF below normal. An objective response occurred in all five patients with locally advanced breast cancer and in eight of 20 patients (40%; 95% confidence interval, 19% to 61%) with metastatic breast cancer. CONCLUSION: When combined with doxorubicin (60 mg/m2) and dexrazoxane (600 mg/m2), paclitaxel given as a 3-hour infusion had an MTD of 150 mg/m2, and G-CSF was required to prevent febrile neutropenia. Dexrazoxane had no effect on the pharmacokinetics of paclitaxel or doxorubicin. No patient in this trial had a decrease in the LVEF below normal, compared with about 20% to 50% of patients treated with doxorubicin and paclitaxel without dexrazoxane in other trials.",,880-880,3,17,JCO,American Society of Clinical Oncology (ASCO),,en,Unknown,doxorubicin,dexrazoxane,patient,Yes,,Strict PICO; RCT+Observational
10.28922/qmj.2012.8.13.133-142,journal-article,2017,"Mahdi Hashim, Hashim; Ahmad Al-Zubaidy, Adeeb; Hassan Abboud Al-Rekabi, Sameer",Effect of carvedilol on echocardiographic ejection fraction and fraction shortening in doxorubicin treated females with breast cancer,AL-QADISIYAH MEDICAL JOURNAL,,2312-7864; 1817-0153,10.28922/qmj.2012.8.13.133-142,https://doi.org/10.28922/qmj.2012.8.13.133-142,"Background : Doxorubicin based regimen is the most common treatment of breast cancer which is highly complicated by cardiotoxicity.Aim : To clarify the possible effects of carvedilol on echocardiographic ejection fraction and fraction shortening in doxorubicin based regimen in females with breast cancer.Patients and Methods : A total of 16 females with breast cancer were included in this study. The patients were randomized into 2 groups , 8 patients each. Group I included patients were treated with doxorubicin based regimen for 6 cycles with 21 day apart. Group II included patients were received doxorubicin based regimen with carvedilol 3.125 mg , orally , twice daily for 5 days , for 6 cycles. Echocardiography was done to measure ejection fraction and fraction shortening at zero time and 3 days after 2nd , 4th and 6th cycles.Results: Treatment with CAF regimen caused highly significant decrease in echocardiographic ejection fraction and fraction shortening after 2nd , 4th and 6th cycles in comparison to baseline readings ( P &lt; 0.01 ). Combined CAF + Carvedilol 3.125 mg orally twice daily for 5 days caused highly significant increment in echocardiographic ejection fraction and fraction shortening compared with that of CAF regimen group ( P &lt; 0.01 ).Conclusion: Carvedilol causes significant increase in echocardiographic ejection fraction and fraction shortening in doxorubicin treated patients.",,133-142,13,8,Qad Med J,University of A-Qadisiyah,,,Unknown,doxorubicin,carvedilol,patient,Yes,,Strict PICO; RCT+Observational
10.1002/ajh.21840,journal-article,2010,"Georgakopoulos, Peter; Roussou, Paraskevi; Matsakas, Evangellos; Karavidas, Apostolos; Anagnostopoulos, Nick; Marinakis, Theodoros; Galanopoulos, Athanasios; Georgiakodis, Fotis; Zimeras, Stelios; Kyriakidis, Michael; Ahimastos, Apostolos","Cardioprotective effect of metoprolol and enalapril in doxorubicin‐treated lymphoma patients: A prospective, parallel‐group, randomized, controlled study with 36‐month follow‐up",American Journal of Hematology,,0361-8609; 1096-8652,10.1002/ajh.21840,https://doi.org/10.1002/ajh.21840,,,894-896,11,85,American J Hematol,Wiley,,en,Unknown,doxorubicin,"enalapril, metoprolol",patient,Yes,,Strict PICO; RCT+Observational
